From,To,Profile,Category,TollCost
1129,1448,T1,1,73.66
1129,1449,T1,1,72.68
1129,1454,T1,1,10
1129,1463,T1,1,10
1129,1467,T1,1,10
1129,1473,T1,1,200.99
1129,1482,T1,1,72.68
1129,1484,T1,1,10
1129,1499,T1,1,200.99
1129,1503,T1,1,200.99
1129,1506,T1,1,10
1129,1507,T1,1,172.7
1129,1516,T1,1,10
1129,1527,T1,1,10
1129,1531,T1,1,200.99
1129,1545,T1,1,23.25
1129,1559,T1,1,200.99
1129,1561,T1,1,182.81
1129,1564,T1,1,200.99
1129,1566,T1,1,10
1129,1567,T1,1,168.66
1129,1571,T1,1,200.99
1129,1572,T1,1,200.99
1129,1574,T1,1,200.99
1129,1576,T1,1,200.99
1129,1579,T1,1,200.99
1129,1580,T1,1,200.99
1129,1581,T1,1,73.66
1129,1590,T1,1,200.99
1129,1592,T1,1,200.99
1129,48FORTY,T1,1,10
1129,8001,T1,1,200.99
1129,8002,T1,1,200.99
1129,8003,T1,1,200.99
1129,8004,T1,1,200.99
1129,8006,T1,1,200.99
1129,8007,T1,1,200.99
1129,8008,T1,1,200.99
1129,8009,T1,1,200.99
1129,8011,T1,1,200.99
1129,8012,T1,1,200.99
1129,8013,T1,1,200.99
1129,8014,T1,1,200.99
1129,8015,T1,1,200.99
1129,8017,T1,1,200.99
1129,8018,T1,1,200.99
1129,8019,T1,1,200.99
1129,8020,T1,1,200.99
1129,8021,T1,1,200.99
1129,8023,T1,1,200.99
1129,8024,T1,1,200.99
1129,8025,T1,1,200.99
1129,8026,T1,1,200.99
1129,90005,T1,1,11
1129,90006,T1,1,11
1129,AMAZON,T1,1,10
1129,AVA,T1,1,200.99
1129,BAKKAFROST,T1,1,72.68
1129,CancelDuetoHours,T1,1,19
1129,CarrierCancel,T1,1,19
1129,CarrierLateCancel,T1,1,19
1129,CHEP,T1,1,19
1129,CiboVita,T1,1,10
1129,Congressional,T1,1,43
1129,DOT,T1,1,10
1129,FLEX1,T1,1,19
1129,FLEX2,T1,1,19
1129,FLEX3,T1,1,19
1129,LASSONDE,T1,1,10
1129,ONEBANANA,T1,1,10
1129,PREMIO,T1,1,73.66
1129,PREMIUMWATER,T1,1,34
1129,Purina Allentown,T1,1,10
1129,Purina Mechanicsburg,T1,1,10
1129,Standby(Overspill),T1,1,19
1129,TONU,T1,1,19
1129,TONULate,T1,1,19
1129,US0007,T1,1,19
1134,1023,T1,1,77.63
1134,1035,T1,1,22.5
1134,1081,T1,1,46.5
1134,1091,T1,1,0
1134,1094,T1,1,19.99
1134,1096,T1,1,22.5
1134,1119,T1,1,7.83
1134,1129,T1,1,78.63
1134,1134,T1,1,0
1134,1138,T1,1,22.5
1134,1162,T1,1,19.99
1134,1166,T1,1,73.88
1134,1176,T1,1,4.9
1134,1177,T1,1,0
1134,1203,T1,1,22.5
